"endTime","artistName","trackName","msPlayed"
"2019-09-28 17:38","NF","Got You On My Mind","239606"
"2019-09-28 17:38","Futuristic","Epiphany (feat. NF)","1380"
"2019-09-28 17:38","NF","Dreams","1100"
"2019-09-28 17:38","NF","NO NAME","605"
"2019-09-28 17:41","NF","Options","143650"
"2019-09-28 17:42","NF","Options","57609"
"2019-09-28 17:42","NF","Time","488"
"2019-09-28 17:42","NF","-Interlude-","925"
"2019-09-28 17:47","NF","Returns","287631"
"2019-09-28 17:49","NF","I Miss The Days","786"
"2019-09-28 17:49","NF","Notepad","79055"
"2019-09-28 17:49","NF","My Stress","850"
"2019-09-28 17:49","NF","WHY","396"
"2019-09-28 17:49","NF","How Could You Leave Us","1306"
"2019-09-28 17:49","NF","Hands Up","1"
"2019-09-28 17:51","NF","WHY","166142"
"2019-09-28 17:51","NF","Mansion","273"
"2019-09-28 17:51","NF","Destiny","1371"
"2019-09-28 17:51","NF","Hands Up","820"
"2019-09-28 17:52","NF","Only","170"
"2019-09-28 17:56","NF","Grindin'","1010"
"2019-09-28 17:56","NF","Only","867"
"2019-09-28 17:56","NF","Can You Hold Me","340"
"2019-09-28 17:56","NF","Mansion","258878"
"2019-09-28 17:59","NF","Therapy Session","177035"
"2019-09-28 17:59","NF","Real","842"
"2019-09-28 17:59","NF","Oh Lord","837"
"2019-09-28 17:59","NF","Thing Called Love","678"
"2019-09-28 18:00","NF","Real","2410"
"2019-09-28 18:00","NF","Thing Called Love","88326"
"2019-09-28 18:05","NF","Leave Me Alone","274014"
"2019-09-28 18:08","NF","Let Me Go","205113"
"2019-09-28 18:09","NF","Let You Down","1158"
"2019-09-28 18:09","NF","Nate","280"
"2019-09-28 18:09","NF","When I Grow Up","0"
"2019-09-28 18:09","NF","The Search","344"
"2019-09-28 18:09","NF","Paralyzed","572"
"2019-09-28 18:09","NF","Change","613"
"2019-09-28 18:09","NF","Thinking","522"
"2019-09-28 18:09","NF","Remember This","0"
"2019-09-28 18:09","NF","My Life","420"
"2019-09-28 18:09","NF","All I Have","792"
"2019-09-28 18:09","NF","10 Feet Down","2937"
"2019-09-28 18:09","NF","Intro","1050"
"2019-09-28 18:09","NF","Just Being Me","628"
"2019-09-28 18:09","NF","Like This","0"
"2019-09-28 18:09","NF","Warm Up","0"
"2019-09-28 18:09","NF","Wake Up","0"
"2019-09-28 18:09","NF","Lost In The Moment","0"
"2019-09-28 18:09","NF","Green Lights","13"
"2019-09-28 18:09","NF","Time - Edit","0"
"2019-09-28 18:09","NF","Lie","0"
"2019-09-28 18:13","NF","Hate Myself","260253"
"2019-09-28 18:13","NF","No Excuses","0"
"2019-09-28 18:17","NF","Trauma","209986"
"2019-09-29 09:39","Eminem","River (feat. Ed Sheeran)","221013"
"2019-09-29 09:39","Eminem","Shake That","26779"
"2019-09-29 09:45","Eminem","Rap God","363521"
"2019-09-29 09:47","Akon","Smack That","4887"
"2019-09-29 09:47","Eminem","Crack A Bottle","112023"
"2019-09-29 09:47","Eminem","Superman","1550"
"2019-09-29 09:53","50 Cent","Patiently Waiting","326122"
"2019-09-29 09:58","Eminem","Cleanin' Out My Closet","297840"
"2019-09-29 09:59","Paul Rosenberg","Paul - Skit","35240"
"2019-09-29 10:04","Eminem","Bitch Please II","288200"
"2019-09-29 10:07","Eminem","Kamikaze","216029"
"2019-09-29 10:12","Eminem","Not Afraid","248133"
"2019-09-29 10:15","Eminem","Sing For The Moment","98109"
"2019-09-29 10:18","Eminem","Good Guy (feat. Jessie Reyez)","133960"
"2019-09-29 14:18","Token","Patty Cake","278128"
"2019-09-29 14:19","Token","No Service","116243"
"2019-09-29 14:19","Token","Self Made","0"
"2019-09-29 14:23","Token","YouTube Rapper (Bonus Track)","235105"
"2019-09-29 14:26","Token","No Game","172661"
"2019-09-29 14:27","Token","Treehouse","62551"
"2019-09-29 14:30","Token","Dirty Flesh","129590"
"2019-09-29 14:33","Token","Household Name","198522"
"2019-09-29 14:37","Token","One Like Equals","273759"
"2019-09-29 14:38","Ohana Bam","All Roads Lead Home (Hobbs & Shaw Remix)","780"
"2019-09-29 14:38","Token","Doozy","662"
"2019-09-29 14:40","Token","Flamingo","170780"
"2019-09-29 14:45","Token","Mom Would Agree","0"
"2019-09-29 14:45","Token","Necessary Evil","258531"
"2019-09-29 14:45","Token","Run It Back","23280"
